"","RAV188","RAV579","RAV832","RAV1166","RAV220","RAV833","RAV1302","RAV324","RAV1008","RAV1575","RAV868","RAV61","RAV834","RAV517","RAV192"
"pathologic_stage",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"pathology_T_stage",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"pathology_N_stage",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"pathology_M_stage",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"residual_tumor.x",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"race",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.anatomic_neoplasm_subdivision",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"patient.clinical_cqcf.country",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"patient.clinical_cqcf.frozen_specimen_anatomic_site",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"patient.clinical_cqcf.history_of_prior_malignancy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"patient.clinical_cqcf.normal_tissue_anatomic_site",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.drugs.drug.2.drug_name",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.drugs.drug.2.prescribed_dose",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.drugs.drug.2.prescribed_dose_units",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.drugs.drug.2.regimen_indication",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"patient.drugs.drug.2.route_of_administrations.route_of_administration",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.drugs.drug.2.therapy_types.therapy_type",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.drugs.drug.2.total_dose_units",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"patient.drugs.drug.3.drug_name",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"patient.drugs.drug.3.prescribed_dose",0,0,0,1,1,0,0,0,1,1,0,1,0,0,1
"patient.drugs.drug.3.prescribed_dose_units",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.drugs.drug.3.regimen_indication",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.drugs.drug.3.route_of_administrations.route_of_administration",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"patient.drugs.drug.3.therapy_types.therapy_type",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.drugs.drug.3.total_dose_units",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
