"","RAV188","RAV579","RAV832","RAV1166","RAV220","RAV833","RAV1302","RAV324","RAV1008","RAV1575","RAV868","RAV61","RAV834","RAV517","RAV192"
"histological_type.x",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.braf_gene_analysis_performed",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"patient.drugs.drug.4.therapy_ongoing",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.drugs.drug.therapy_ongoing",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.follow_ups.follow_up.2.person_neoplasm_cancer_status",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.follow_ups.follow_up.2.vital_status",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.follow_ups.follow_up.followup_case_report_form_submission_reason",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.follow_ups.follow_up.lost_follow_up",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.follow_ups.follow_up.person_neoplasm_cancer_status",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.follow_ups.follow_up.postoperative_rx_tx",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.follow_ups.follow_up.vital_status",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.histological_type",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.history_of_colon_polyps",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"patient.kras_gene_analysis_performed",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"patient.lymphatic_invasion",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"patient.microsatellite_instability",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"patient.non_nodal_tumor_deposits",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"patient.person_neoplasm_cancer_status",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patient.synchronous_colon_cancer_present",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.tissue_prospective_collection_indicator",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"patient.tissue_retrospective_collection_indicator",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"patient.bcr_canonical_check.bcr_patient_canonical_reasons.bcr_canonical_reason.2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"patient.bcr_canonical_check.bcr_patient_canonical_status",0,0,1,1,0,0,0,1,0,0,1,0,0,0,1
"patient.biospecimen_cqcf.submitted_for_lce",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"patient.samples.sample.3.sample_type",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"patient.samples.sample.oct_embedded",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"gender.y",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"histological_type.y",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"icd_o_3_histology",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"lymphatic_invasion_present",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"synchronous_colon_cancer_present",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"vascular_invasion_present",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
