"","RAV4483","RAV95","RAV4489","RAV2670","RAV1301","RAV1959","RAV1302","RAV988","RAV987","RAV3033","RAV1002","RAV1125","RAV4689","RAV2673","RAV1960","RAV996","RAV4486","RAV998","RAV999","RAV1001","RAV4113"
"pathologic_stage",0.0130780289034801,0.0115639971352107,0.0730300018380502,0.265106561316794,0.272089555388986,0.0276469599060901,0.146194347902595,0.238723387285904,0.072600693679686,0.201442814145647,0.483126229189741,0.00279931273360113,0.668389018579282,0.096111265635074,0.14933494622255,0.338698287172328,0.0257389282052184,0.541586902039734,0.0779151777395532,0.112964547296083,0.156194072636533
"pathology_T_stage",0.400073447833237,0.238390082845238,0.488083628907429,0.342733572764793,0.298332768382205,0.115561378931739,0.206025550136823,0.910242666334527,0.237221062950663,0.335011718849437,0.90457704508693,0.218028131771956,0.660563656238142,0.488467117821687,0.598923857116449,0.70505765334982,0.258359875515515,0.781361881448389,0.55766949605543,0.0862134226283494,0.243707487316238
"pathology_N_stage",0.000230382283363833,0.00032158334492766,0.0566483115928825,0.157341298517873,0.122389456157593,0.0491381676484226,0.208320869159181,0.243856974382813,0.134736297090657,0.0139915517653949,0.0246875572295512,0.00805987844001887,0.222297709148783,0.00218296320469824,0.288291339896579,0.234761799096115,0.13098171338319,0.112298856995867,0.0874875155846307,0.334295273668703,0.225715115223826
"pathology_M_stage",0.364358336620072,0.607791084359104,0.0868970849827573,0.002546237797875,0.00242972972338421,0.158894223472109,0.00594491793579175,0.000617781477075587,0.070790647818909,0.0265026347278832,0.832787548876649,0.136592003182569,0.0515657367277922,0.204137913626059,0.271339150049513,0.0494840889364149,0.00284678720360373,0.0362866140376747,0.0629113707767308,0.217697494531562,0.217141903026965
"gender",0.212887116424916,0.911183037509632,0.0122515400143903,0.138704286264876,0.139838225064306,0.00158582442009755,0.0235228976387341,0.211646825975276,0.0158522602942955,0.580923280550949,0.142863801601352,0.0149835408785597,0.342233763567919,0.134700146709378,0.0448178694978493,0.0398886308724871,0.277176796657398,0.257897527660392,0.248557729265398,0.00155476409912785,0.831154946883708
"radiation_therapy",0.00253274294807513,0.489350259303082,0.0530653753973779,0.186442843658749,0.171454361218338,0.0333738621166527,0.119119402526358,0.0171968509143423,0.19931199367458,0.515405991532433,0.274993090749409,0.0124866856936603,0.939700667455227,0.118907499436636,0.0601552410173486,0.177198451551829,0.132717356721629,0.0437017941609333,0.163550478042449,0.163344907250357,0.126554584384849
"histological_type",0.0124541242662871,0.0816222595994183,0.018865216547467,0.350279962541975,0.290287923939722,0.439849725719645,0.67599108048147,0.0444161293186136,0.634777517853893,0.111263337951035,0.200042819122816,0.00420868416421149,0.247999215063339,0.0325852652811859,0.146320748244225,0.135704070757102,0.0184739578303674,0.0214702620764504,0.7205014545703,0.782237621008932,0.0620132806390669
"race",0.768506912655689,0.936685521133811,0.594733225123061,0.564881068316101,0.59520990549013,0.84057456889715,0.548520712003062,0.300979776414133,0.875448570188535,0.642754761728032,0.974480093737058,0.437987807650793,0.630670244310769,0.616164218301416,0.507326246744547,0.520334191141047,0.296509017678762,0.886225514726065,0.769511279919975,0.814664223461655,0.88738328248756
"ethnicity",0.737857096571339,0.502135908006568,0.287225577493123,0.423692182662365,0.460948020908068,0.934745309806497,0.742329393563602,0.225925123041142,0.683600899592939,0.354288469339908,0.295120780977382,0.275088550367982,0.555783089726944,0.290691970798509,0.662393110646358,0.309210180020866,0.319184520474906,0.406915809130103,0.999729706525589,0.896026012286405,0.777003280148037
"admin.file_uuid",0.316364013648321,0.386926379930687,0.172280420666146,0.242833377295435,0.299726103659407,0.327986802398615,0.220176881539084,0.24798505288505,0.106683408721661,0.295797313626147,0.999458402734793,0.12475436186965,0.0617884451192402,0.750739090813568,0.470003478249292,0.321929278894825,0.0667627270014813,0.539526792113018,0.999320384562947,0.983636325476909,0.608778974071861
"patient.alcohol_history_documented",0.188481575344889,0.464941840038407,0.0664549191861819,0.763006639764512,0.801642913347206,0.0900095644032532,0.447586799299539,0.186794140897142,0.284364142207906,0.917979170261394,0.163839963148033,0.0360110689953754,0.300025704208781,0.231699910049345,0.274189575083388,0.18930029930258,0.278973873685024,0.957518993750546,0.260387294918698,0.0202404087064725,0.281786779453069
"patient.anatomic_neoplasm_subdivision",0.107863180115137,0.541526859501601,0.00715715428906151,0.239451454326791,0.280321852995817,0.0204706518467953,0.12935192427484,0.0282011087291648,0.226593620035196,0.423220159174147,0.48120630998537,0.00110205816665839,0.590069412487591,0.0990123887914427,0.341653887409613,0.0650072810772469,0.183343534116294,0.635776507613211,0.474566905738035,0.00393928587678743,0.539406065813481
"patient.bcr_patient_uuid",0.316364013648322,0.386926379930686,0.172280420666146,0.242833377295435,0.299726103659408,0.327986802398616,0.220176881539084,0.24798505288505,0.106683408721661,0.295797313626146,0.999458402734793,0.124754361869651,0.0617884451192402,0.750739090813569,0.470003478249292,0.321929278894825,0.0667627270014807,0.539526792113018,0.999320384562947,0.983636325476909,0.608778974071861
"patient.clinical_cqcf.consent_or_death_status",0.0508152313923242,0.305193987099399,0.028479429779494,0.621273435157659,0.581697202321975,0.458128121066238,0.601821436263847,0.00514358032767159,0.555135581140371,0.508379135032574,0.55243935947804,0.0180660111268375,0.96486535144281,0.0933344181146729,0.547740370016218,0.0764748922441457,0.192313005792234,0.0816184590800385,0.662677487369412,0.659732511948936,0.889752376022159
"patient.clinical_cqcf.country",0.802122247993267,0.816007458096728,0.646286858484238,0.18381946542965,0.179227710190048,0.366416544667279,0.324811001806411,0.220278503972282,0.423359194288029,0.383529161117026,0.794685238399992,0.434292674260496,0.817705553826491,0.36084450891373,0.101793957260395,0.28940871770806,0.208419456362322,0.185935215072849,0.52612266361332,0.753149403126323,0.951990630415931
"patient.clinical_cqcf.frozen_specimen_anatomic_site",0.107863180115137,0.541526859501599,0.00715715428906152,0.239451454326792,0.280321852995817,0.0204706518467953,0.12935192427484,0.0282011087291647,0.226593620035196,0.423220159174147,0.48120630998537,0.00110205816665839,0.590069412487591,0.0990123887914427,0.341653887409613,0.065007281077247,0.183343534116294,0.635776507613211,0.474566905738035,0.00393928587678745,0.539406065813481
"patient.clinical_cqcf.histological_type",0.0124541242662871,0.0816222595994183,0.018865216547467,0.350279962541975,0.290287923939722,0.439849725719645,0.67599108048147,0.0444161293186136,0.634777517853893,0.111263337951035,0.200042819122816,0.00420868416421149,0.247999215063339,0.0325852652811859,0.146320748244225,0.135704070757102,0.0184739578303674,0.0214702620764504,0.7205014545703,0.782237621008932,0.0620132806390669
"patient.clinical_cqcf.history_of_prior_malignancy",0.891854323514005,0.697355321688222,0.434984752033487,0.0851219094577,0.0923130968179621,0.0629835661090443,0.0571617906735798,0.610802580612347,0.12362501881889,0.134236394763779,0.759624454240938,0.466862609255329,0.269769205062749,0.827882229790401,0.0887555132423894,0.593317605117994,0.714011548783972,0.546491448278007,0.41002075326657,0.207339151652208,0.814882264794215
